dataset_name,subject_id,administration_id,age,n_trials,n_trials_rt,rt_var,log_rt_var,short_window_acc_var,long_window_acc_var,short_window_accuracy,long_window_accuracy,short_window_prop_data,long_window_prop_data,short_window_target,long_window_target,short_window_distractor,long_window_distractor,short_window_elogit,long_window_elogit,rt,log_rt,prod,comp,log_age
adams_marchman_2018,391,499,37,14,5,1031.5946393811864,0.6259562407985784,0.3513684498343655,0.31351751355275786,0.7618001046572476,0.7994708406051183,0.9603174603174603,0.9290816326530612,52.714285714285715,104.14285714285714,16.428571428571427,25.928571428571427,2.148240037199633,2.8274076466688256,1270,6.9573859163457845,,,3.6109179126442243
adams_marchman_2018,391,500,37,17,8,551.1351921262151,0.5407932758374406,0.35315079246632713,0.254359430982851,0.5361460330724811,0.710433292308184,0.9084967320261438,0.9239495798319328,35.94117647058823,92.52941176470588,29.470588235294116,36.8235294117647,0.814844361771539,1.9290640709927074,1412.5,7.151623271419243,,,3.6109179126442243
adams_marchman_2018,392,501,15,26,14,772.9568068622756,0.4573394331465262,0.33602455584489394,0.27550711763789193,0.5835668102053909,0.5680573743108175,0.9418724279835391,0.9001122334455668,39.62962962962963,67.37037037037037,28.185185185185187,51.44444444444444,0.5828661238382055,0.23666672438154765,1383.9285714285713,7.123323405294643,,0.4166666666666667,2.70805020110221
adams_marchman_2018,392,502,16,29,18,177.65838004439868,0.25015681417617736,0.21087852247588854,0.23747915992366875,0.6900380978953624,0.654467613171792,0.9037037037037037,0.8679292929292929,45.36666666666667,73.63333333333334,19.7,40.93333333333333,1.1973096087612858,1.1172033624007025,820.8333333333334,6.683872178330873,,0.4166666666666667,2.772588722239781
adams_marchman_2018,392,503,17,27,13,840.3629786571015,0.5304963580640594,0.31851946965330014,0.27356384930787064,0.6233419293773421,0.560027285665194,0.9048353909465021,0.8827160493827161,40.666666666666664,65.48148148148148,24.48148148148148,51.03703703703704,0.8707991420857181,0.3963435046386457,1388.4615384615386,7.097559584491572,,,2.833213344056216
adams_marchman_2018,392,504,18,23,14,933.1722453869057,0.5406143462682621,0.36586515072393916,0.32874337934702036,0.4470837945708878,0.4574106291406815,0.9116666666666666,0.8506060606060606,29.119999999999997,52.36,36.52,59.92,-0.606362521889649,-0.5129799829080458,1592.857142857143,7.230805768150801,,,2.8903717578961645
adams_marchman_2018,392,505,22,13,7,152.55756134590484,0.22498510286537882,0.2313835828928217,0.17889653020459104,0.719698524950075,0.847951753388184,0.8663194444444444,0.7433035714285714,46.5,85.5625,15.875,18.5,1.5038364807156337,2.6402695844152504,767.8571428571429,6.623721597059194,0.4235294117647059,,3.091042453358316
adams_marchman_2018,392,506,22,12,4,929.8297335175582,0.790274295580801,0.3686206885575535,0.35887437215168677,0.6958725404497463,0.5801297717389114,0.9513888888888888,0.8797619047619047,47.5,73.41666666666667,21,49.75,1.3651538505209773,1.0960315164650074,1275,6.930637858443535,0.4235294117647059,,3.091042453358316
adams_marchman_2018,392,507,25,17,10,575.2052773672292,0.5117261829713047,0.2900664156873392,0.16026606430346235,0.7529798058157453,0.9039981488292075,0.9411764705882353,0.8638655462184874,51.11764705882353,109.94117647058823,16.647058823529413,11,1.8444419754745063,3.626857198237112,940,6.714149459406218,0.6220588235294118,,3.2188758248682006
adams_marchman_2018,392,508,25,7,2,441.9417382415922,0.38112808070390314,0.24848828395395534,0.16780421655894895,0.826030412164866,0.914508403020216,0.8541666666666667,0.7741071428571429,52.75,99.375,8.75,9,3.1284565784662934,4.190703309057025,1187.5,7.043722136723957,0.6220588235294118,,3.2188758248682006
adams_marchman_2018,393,509,15,27,12,630.1905676183605,0.5217078989040266,0.29631351803436873,0.25809095444878033,0.6169300278420095,0.6000899347614402,0.9191468253968254,0.9101731601731602,41.03571428571429,72.64285714285714,25.142857142857142,47.5,0.8926261185379449,0.9182386641547177,1170.8333333333333,6.942504778290469,,0.20454545454545456,2.70805020110221
adams_marchman_2018,393,510,16,25,10,914.618924895925,0.515156050817927,0.4031854477005874,0.27585858059672136,0.4837897042167139,0.46967908952539456,0.9145299145299145,0.8041958041958042,31.692307692307693,50.61538461538461,34.15384615384615,55.53846153846154,-0.232432596345097,-0.08333366175606689,2200,7.595635544844234,,0.20454545454545456,2.772588722239781
adams_marchman_2018,393,511,18,30,14,683.5588835299759,0.35578186630369557,0.35327474101588663,0.3509832816304907,0.5007005842566123,0.539243524030819,0.9268518518518518,0.9227272727272727,34.2,65.7,32.53333333333333,56.1,0.16491351349227235,0.39955932681630146,1482.142857142857,7.231891510779798,,0.3712121212121212,2.8903717578961645
adams_marchman_2018,393,512,18,27,11,764.1171376170017,0.44600928853017685,0.3551411353839958,0.2925322717052426,0.5112938035554082,0.5795858814387039,0.9191468253968254,0.8582251082251082,34.07142857142857,63.642857142857146,32.107142857142854,49.642857142857146,-0.1655464855899093,0.5062541390031905,1475,7.196007091275982,,0.3712121212121212,2.8903717578961645
adams_marchman_2018,393,513,21,16,5,230.21728866442677,0.3235508360645422,0.33049576846589257,0.3290191577426224,0.5640762195986255,0.5080511975420592,0.8984375,0.8205357142857143,36.5,58.0625,28.1875,56.8125,0.6047741236796776,-0.0032135292699978016,865,6.725969167892858,0.13970588235294118,,3.044522437723423
adams_marchman_2018,393,514,21,7,3,776.7453465154028,0.5327465604299664,0.3896723869988293,0.36276819506569147,0.4719438121065759,0.37021311613183344,0.7972222222222223,0.6714285714285714,26.599999999999998,33.3,30.8,60.7,-0.5507446517338495,-1.058982012017632,1433.3333333333333,7.1717843217870865,0.13970588235294118,,3.044522437723423
adams_marchman_2018,393,515,24,11,6,864.544677850717,0.511419947660499,0.3327853716583483,0.22398798498630665,0.5996607858114164,0.7627651334719046,0.9305555555555556,0.8688311688311688,40.36363636363637,93.18181818181819,26.636363636363637,28.454545454545453,0.6703531033450643,1.692958809321292,1512.5,7.204432279639945,0.27941176470588236,,3.1780538303479458
adams_marchman_2018,393,516,24,7,2,282.842712474619,0.1865450863039724,0.3662680914739088,0.1746167900862792,0.7118180605575564,0.8187148543627978,0.9662698412698413,0.8704081632653061,50.42857142857143,99.57142857142857,19.142857142857142,22.285714285714285,2.52243281040723,2.503332343275745,1525,7.321075033942892,0.27941176470588236,,3.1780538303479458
